sensor,n_points,centroid_lat,centroid_lon,max_brightness,sum_frp,max_frp,earliest_detection,latest_detection,duration_hours,centroid_area_label,dataset,region,month
modis,43,40.41148837209301,30.103972093023263,510.0,19396.9,1996.3,2025-07-21 07:02:00,2025-07-21 18:05:00,11.05,Sakarya,clstrd_20250625_35d_turkey,Sakarya,2025-07-01
viirs,282,38.14806865248228,26.969777836879437,,18027.1,441.98,2025-06-29 10:14:00,2025-06-29 12:17:00,2.05,Izmir,clstrd_20250625_35d_turkey,Izmir,2025-06-01
viirs,191,38.24764314136126,26.461218219895283,,16590.770000000004,569.41,2025-07-03 10:39:00,2025-07-03 12:19:00,1.6666666666666667,Izmir,clstrd_20250625_35d_turkey,Izmir,2025-07-01
modis,38,40.35565526315789,30.38015263157894,440.1,16374.7,2979.8,2025-06-27 11:23:00,2025-06-27 18:41:00,7.3,Bilecik,clstrd_20250625_35d_turkey,Bilecik,2025-06-01
modis,33,40.59929393939395,26.954445454545457,500.0,15007.5,1860.0,2025-07-15 11:34:00,2025-07-15 19:03:00,7.483333333333333,Çanakkale,clstrd_20250625_35d_turkey,Çanakkale,2025-07-01
modis,41,38.13939024390243,26.95566097560976,476.7,13760.4,1289.4,2025-06-29 12:39:00,2025-06-29 19:59:00,7.333333333333333,Izmir,clstrd_20250625_35d_turkey,Izmir,2025-06-01
viirs,204,40.61878318627452,26.967236813725485,,13232.65,437.19,2025-07-16 09:56:00,2025-07-16 11:59:00,2.05,Çanakkale,clstrd_20250625_35d_turkey,Çanakkale,2025-07-01
viirs,142,40.4149537323944,30.12240556338028,,11182.82,847.02,2025-07-21 10:02:00,2025-07-21 12:05:00,2.05,Sakarya,clstrd_20250625_35d_turkey,Sakarya,2025-07-01
modis,31,40.34948709677419,30.407425806451617,479.2,10530.999999999998,3247.6,2025-06-28 08:17:00,2025-06-28 12:01:00,3.733333333333333,Bilecik,clstrd_20250625_35d_turkey,Bilecik,2025-06-01
modis,10,40.33069,30.10645,483.0,9967.5,3021.4,2025-07-23 11:50:00,2025-07-23 11:50:00,0.0,Bilecik,clstrd_20250625_35d_turkey,Bilecik,2025-07-01
viirs,87,39.00817988505749,27.931100459770114,,9091.98,661.47,2025-06-28 10:33:00,2025-06-28 12:13:00,1.6666666666666667,Manisa,clstrd_20250625_35d_turkey,Manisa,2025-06-01
modis,33,39.71600303030303,29.074709090909085,481.8,8234.1,2416.5,2025-07-27 12:46:00,2025-07-27 18:45:00,5.983333333333333,Bursa,clstrd_20250625_35d_turkey,Bursa,2025-07-01
modis,16,39.72976875,29.06523125,441.7,7860.6,2206.3,2025-07-28 08:21:00,2025-07-28 11:47:00,3.433333333333333,Bursa,clstrd_20250625_35d_turkey,Bursa,2025-07-01
modis,21,40.62476190476191,26.9856,502.6,7632.299999999998,2394.1,2025-07-16 08:39:00,2025-07-16 12:13:00,3.566666666666667,Çanakkale,clstrd_20250625_35d_turkey,Çanakkale,2025-07-01
modis,12,36.3028,36.14595,479.4,7141.4000000000015,1671.9,2025-06-30 07:58:00,2025-06-30 11:40:00,3.7,Hatay,clstrd_20250625_35d_turkey,Hatay,2025-06-01
modis,19,40.61175789473683,26.962110526315787,502.9,6360.000000000001,2558.8,2025-07-16 01:09:00,2025-07-16 01:09:00,0.0,Çanakkale,clstrd_20250625_35d_turkey,Çanakkale,2025-07-01
modis,17,39.00183529411765,27.92838235294118,427.3,6338.9,928.8,2025-06-28 12:01:00,2025-06-28 12:01:00,0.0,Manisa,clstrd_20250625_35d_turkey,Manisa,2025-06-01
viirs,68,40.38189808823528,30.39662279411764,,6301.699999999999,254.99,2025-06-27 10:52:00,2025-06-27 11:14:00,0.3666666666666666,Bilecik,clstrd_20250625_35d_turkey,Bilecik,2025-06-01
viirs,69,40.35962739130436,30.415397971014485,,5938.11,541.21,2025-06-28 10:33:00,2025-06-28 10:55:00,0.3666666666666666,Bilecik,clstrd_20250625_35d_turkey,Bilecik,2025-06-01
viirs,144,40.61077736111113,26.95946701388888,,5906.51,317.72,2025-07-15 22:55:00,2025-07-16 00:36:00,1.6833333333333331,Çanakkale,clstrd_20250625_35d_turkey,Çanakkale,2025-07-01
viirs,139,38.3035374820144,27.19869007194243,,5188.509999999999,226.38,2025-07-03 22:58:00,2025-07-04 01:01:00,2.05,Izmir,clstrd_20250625_35d_turkey,Izmir,2025-07-01
modis,26,40.264876923076926,29.2525,370.0,4891.799999999999,872.4,2025-07-26 18:06:00,2025-07-27 07:42:00,13.6,Bursa,clstrd_20250625_35d_turkey,Bursa,2025-07-01
modis,17,38.299952941176464,27.214111764705883,448.4,4806.8,946.8,2025-07-03 19:21:00,2025-07-03 19:21:00,0.0,Izmir,clstrd_20250625_35d_turkey,Izmir,2025-07-01
viirs,37,39.73646540540541,29.07104108108108,,4439.469999999999,566.47,2025-07-27 09:49:00,2025-07-27 11:52:00,2.05,Bursa,clstrd_20250625_35d_turkey,Bursa,2025-07-01
viirs,44,38.70678772727273,26.9415975,,4406.17,261.37,2025-06-25 10:11:00,2025-06-25 11:51:00,1.6666666666666667,Izmir,clstrd_20250625_35d_turkey,Izmir,2025-06-01
modis,20,40.42946499999999,30.140145,500.0,4259.200000000001,2033.6,2025-07-20 19:04:00,2025-07-20 19:04:00,0.0,Sakarya,clstrd_20250625_35d_turkey,Sakarya,2025-07-01
viirs,78,36.30550576923077,36.15540410256411,,3649.43,124.21,2025-06-30 09:54:00,2025-06-30 11:34:00,1.6666666666666667,Hatay,clstrd_20250625_35d_turkey,Hatay,2025-06-01
modis,13,41.107861538461535,32.73766153846154,458.3,3503.8,1471.7,2025-07-26 12:08:00,2025-07-26 18:06:00,5.966666666666667,Karabük,clstrd_20250625_35d_turkey,Karabük,2025-07-01
modis,6,38.27253333333333,27.89706666666667,442.7,3288.0,1562.4,2025-07-03 11:59:00,2025-07-03 11:59:00,0.0,Izmir,clstrd_20250625_35d_turkey,Izmir,2025-07-01
modis,8,39.57145,26.1981125,430.0,3177.0999999999995,2074.6,2025-07-15 13:12:00,2025-07-15 19:03:00,5.85,Çanakkale,clstrd_20250625_35d_turkey,Çanakkale,2025-07-01
modis,17,38.34622352941177,26.48908235294118,401.8,2922.6,587.8,2025-07-02 12:58:00,2025-07-02 18:41:00,5.716666666666667,Izmir,clstrd_20250625_35d_turkey,Izmir,2025-07-01
viirs,45,36.34155444444445,36.18263111111112,,2823.95,207.87,2025-07-01 09:35:00,2025-07-01 11:38:00,2.05,Hatay,clstrd_20250625_35d_turkey,Hatay,2025-07-01
viirs,56,38.60371785714285,29.723162499999997,,2649.6,167.97,2025-07-25 10:26:00,2025-07-25 12:07:00,1.6833333333333331,Usak,clstrd_20250625_35d_turkey,Usak,2025-07-01
viirs,33,41.057376363636365,32.78668060606061,,2591.91,284.45,2025-07-25 10:27:00,2025-07-25 10:49:00,0.3666666666666666,Karabük,clstrd_20250625_35d_turkey,Karabük,2025-07-01
modis,10,38.70224999999999,26.932250000000003,384.8,2368.0,1045.5,2025-06-25 11:43:00,2025-06-25 19:00:00,7.283333333333333,Izmir,clstrd_20250625_35d_turkey,Izmir,2025-06-01
modis,25,41.098276,32.81334400000001,403.4,2308.9000000000005,486.2,2025-07-24 01:25:00,2025-07-24 18:25:00,17.0,Karabük,clstrd_20250625_35d_turkey,Karabük,2025-07-01
viirs,50,38.6076084,29.707600200000005,,2286.8300000000004,184.36,2025-07-26 10:08:00,2025-07-26 11:48:00,1.6666666666666667,Usak,clstrd_20250625_35d_turkey,Usak,2025-07-01
modis,5,39.1674,30.49084,432.5,2235.3,1266.0,2025-07-23 11:49:00,2025-07-23 11:49:00,0.0,Afyon,clstrd_20250625_35d_turkey,Afyon,2025-07-01
modis,11,38.26788181818183,26.472736363636365,413.3,2223.1000000000004,538.7,2025-07-03 08:18:00,2025-07-03 11:59:00,3.683333333333333,Izmir,clstrd_20250625_35d_turkey,Izmir,2025-07-01
