_id,trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
3041,2024-01-01T03:00:00,1,45,15.4014336917562724
3042,2024-01-02T03:00:00,1,80,32.6431226765799257
3043,2024-01-03T03:00:00,1,71,39.2487046632124352
3044,2024-01-04T03:00:00,1,76,35.0510948905109489
3045,2024-01-05T03:00:00,1,74,33.6470588235294118
3046,2024-01-06T03:00:00,1,62,27.0491228070175439
3047,2024-01-07T03:00:00,1,44,19.6948529411764706
3048,2024-01-08T03:00:00,1,78,34.3127272727272727
3049,2024-01-09T03:00:00,2,87,46.0681003584229391
3050,2024-01-10T03:00:00,8,83,42.8302583025830258
3051,2024-01-11T03:00:00,1,69,30.5265017667844523
3052,2024-01-12T03:00:00,1,83,35.0833333333333333
3053,2024-01-13T03:00:00,1,56,23.6219081272084806
3054,2024-01-14T03:00:00,1,63,18.2847222222222222
3055,2024-01-15T03:00:00,1,72,30.2777777777777778
3056,2024-01-16T03:00:00,1,80,37.3784722222222222
3057,2024-01-17T03:00:00,1,78,33.6750000000000000
3058,2024-01-18T03:00:00,1,78,36.4965034965034965
3059,2024-01-19T03:00:00,1,78,37.1818181818181818
3060,2024-01-20T03:00:00,1,76,38.8056537102473498
3061,2024-01-21T03:00:00,6,63,24.9548611111111111
3062,2024-01-22T03:00:00,2,76,34.9138576779026217
3063,2024-01-23T03:00:00,1,83,38.9333333333333333
3064,2024-01-24T03:00:00,1,89,42.2616487455197133
3065,2024-01-25T03:00:00,1,81,42.3450479233226837
3066,2024-01-26T03:00:00,1,85,40.5390625000000000
3067,2024-01-27T03:00:00,1,71,35.4615384615384615
3068,2024-01-28T03:00:00,1,56,26.1944444444444444
3069,2024-01-29T03:00:00,6,81,42.3508771929824561
3070,2024-01-30T03:00:00,4,76,40.7993079584775087
3071,2024-01-31T03:00:00,6,76,39.1393728222996516
