GEOHASH,latitude,longitude,mean_daily_vehicle_count,mean_speed_kmh,peak_hour_vehicle_count,total_vehicle_count
sx7chk,40.9817504882813,27.9656982421875,309.11,83.05,47,5873
sx7chm,40.9872436523438,27.9656982421875,543.16,71.09,80,10320
sx7cht,40.9872436523438,27.9766845703125,496.68,37.45,66,9437
sx7chw,40.9927368164063,27.9766845703125,624.11,67.6,84,11858
sx7chx,40.9982299804688,27.9766845703125,636.37,69.65,88,12091
sx7ck8,41.0037231445313,27.9766845703125,590.0,74.45,84,11210
sx7ck9,41.0092163085938,27.9766845703125,641.47,55.67,92,12188
sx7ckc,41.0092163085938,27.9876708984375,200.63,71.02,32,3812
sx7ckf,41.0147094726563,27.9876708984375,490.53,76.15,75,9320
sx7ckg,41.0202026367188,27.9876708984375,394.47,71.74,54,7495
sx7cm5,41.0202026367188,27.9986572265625,330.11,72.64,43,6272
sx7cmh,41.0256958007813,27.9986572265625,583.95,71.08,80,11095
sx7cmj,41.0311889648438,27.9986572265625,186.53,68.26,27,3544
sx7cmm,41.0311889648438,28.0096435546875,598.79,80.2,88,11377
sx7cmq,41.0366821289063,28.0096435546875,345.47,81.93,48,6564
sx7cmw,41.0366821289063,28.0206298828125,589.32,84.06,83,11197
sx7cmx,41.0421752929688,28.0206298828125,278.32,87.16,49,5288
sx7cmz,41.0421752929688,28.0316162109375,596.74,78.61,90,11338
sx7cqp,41.0421752929688,28.0426025390625,221.84,70.6,30,4215
sx7ctr,41.0861206054688,28.0096435546875,201.53,77.2,30,3829
sx7ctx,41.0861206054688,28.0206298828125,538.0,74.27,79,10222
sx7ctz,41.0861206054688,28.0316162109375,542.89,85.68,72,10315
sx7cu3,41.0971069335938,27.9656982421875,425.0,76.67,58,8075
sx7cu9,41.0971069335938,27.9766845703125,517.16,82.11,71,9826
sx7cuc,41.0971069335938,27.9876708984375,516.37,86.3,75,9811
sx7cv0,41.0916137695313,27.9986572265625,517.37,57.23,75,9830
sx7cv1,41.0971069335938,27.9986572265625,421.63,65.0,66,8011
sx7cv2,41.0916137695313,28.0096435546875,542.79,75.0,80,10313
sx7cw0,41.0476684570313,28.0426025390625,726.53,56.0,99,13804
sx7cw2,41.0476684570313,28.0535888671875,550.21,80.52,79,10454
sx7cw3,41.0531616210938,28.0535888671875,549.32,85.39,87,10437
sx7cw9,41.0531616210938,28.0645751953125,627.95,85.63,96,11931
sx7cwd,41.0586547851563,28.0645751953125,205.42,86.0,33,3903
sx7cwf,41.0586547851563,28.0755615234375,673.79,86.45,92,12802
sx7cwn,41.0806274414063,28.0426025390625,446.84,86.85,63,8490
sx7cwp,41.0861206054688,28.0426025390625,362.74,83.88,56,6892
sx7cwq,41.0806274414063,28.0535888671875,582.68,82.46,86,11071
sx7cwt,41.0751342773438,28.0645751953125,3.0,77.49,3,51
sx7cwv,41.0751342773438,28.0755615234375,562.53,79.45,82,10688
sx7cww,41.0806274414063,28.0645751953125,540.42,87.5,77,10268
sx7cwy,41.0806274414063,28.0755615234375,35.68,84.25,10,678
sx7cx4,41.0586547851563,28.0865478515625,624.16,85.59,85,11859
sx7cx5,41.0641479492188,28.0865478515625,102.32,81.59,18,1944
sx7cx7,41.0641479492188,28.0975341796875,723.16,82.65,100,13740
sx7cxe,41.0641479492188,28.1085205078125,42.0,79.92,7,798
sx7cxj,41.0751342773438,28.0865478515625,743.0,61.41,109,14117
sx7cxk,41.0696411132813,28.0975341796875,696.84,80.67,106,13240
sx7cxm,41.0751342773438,28.0975341796875,223.37,79.71,36,4244
sx7cxs,41.0696411132813,28.1085205078125,1397.11,70.53,182,26545
sx7cxt,41.0751342773438,28.1085205078125,90.74,63.28,18,1724
sx7cxu,41.0696411132813,28.1195068359375,779.21,71.51,101,14805
sx7cxv,41.0751342773438,28.1195068359375,1042.26,77.65,138,19803
sx7cxw,41.0806274414063,28.1085205078125,69.83,81.29,16,1257
sx7cxx,41.0861206054688,28.1085205078125,67.42,80.07,14,1281
sx7cz8,41.0916137695313,28.1085205078125,74.79,78.69,15,1421
sx7cz9,41.0971069335938,28.1085205078125,79.16,77.93,16,1504
sx7czd,41.1026000976563,28.1085205078125,78.05,79.39,15,1483
sx7cze,41.1080932617188,28.1085205078125,74.37,67.56,16,1413
sx7czs,41.1135864257813,28.1085205078125,67.11,75.69,14,1275
sx7czt,41.1190795898438,28.1085205078125,64.44,85.8,15,1160
sx7czw,41.1245727539063,28.1085205078125,63.68,82.78,15,1210
sx7czx,41.1300659179688,28.1085205078125,65.89,78.91,13,1252
sx7fkq,41.2124633789063,27.9656982421875,615.58,92.37,112,11696
sx7fkw,41.2124633789063,27.9766845703125,975.63,91.4,145,18537
sx7fky,41.2124633789063,27.9876708984375,899.53,90.85,143,17091
sx7fme,41.1959838867188,28.0206298828125,437.84,89.31,69,8319
sx7fmg,41.1959838867188,28.0316162109375,802.42,92.28,134,15246
sx7fmj,41.2069702148438,27.9986572265625,1045.84,86.82,162,19871
sx7fmk,41.2014770507813,28.0096435546875,618.63,87.23,101,11754
sx7fmm,41.2069702148438,28.0096435546875,890.53,85.77,137,16920
sx7fmn,41.2124633789063,27.9986572265625,533.37,89.41,89,10134
sx7fms,41.2014770507813,28.0206298828125,720.42,87.39,125,13688
sx7fp8,41.1355590820313,28.1085205078125,53.79,76.72,10,1022
sx7fp9,41.1410522460938,28.1085205078125,48.53,79.75,12,922
sx7fpd,41.1465454101563,28.1085205078125,48.22,83.22,9,868
sx7fpe,41.1520385742188,28.1085205078125,47.22,79.29,10,850
sx7fpm,41.1630249023438,28.0975341796875,21.94,80.1,5,395
sx7fpp,41.1740112304688,28.0865478515625,32.56,77.68,10,586
sx7fpq,41.1685180664063,28.0975341796875,36.78,83.69,10,662
sx7fpr,41.1740112304688,28.0975341796875,15.94,81.41,7,287
sx7fps,41.1575317382813,28.1085205078125,51.53,72.29,12,979
sx7fpt,41.1630249023438,28.1085205078125,43.11,76.47,9,819
sx7fpy,41.1685180664063,28.1195068359375,957.47,89.33,153,18192
sx7fpz,41.1740112304688,28.1195068359375,921.89,91.0,138,17516
sx7fq5,41.1959838867188,28.0426025390625,579.42,87.66,97,11009
sx7fqf,41.1904907226563,28.0755615234375,27.11,71.16,8,488
sx7fqg,41.1959838867188,28.0755615234375,925.42,84.46,146,17583
sx7fqk,41.2014770507813,28.0535888671875,403.11,82.92,59,7659
sx7fqs,41.2014770507813,28.0645751953125,674.11,88.56,98,12808
sx7fqu,41.2014770507813,28.0755615234375,1492.37,67.17,213,28355
sx7fqv,41.2069702148438,28.0755615234375,701.89,80.67,125,13336
sx7fqx,41.2179565429688,28.0645751953125,557.11,81.71,100,10585
sx7fqy,41.2124633789063,28.0755615234375,628.84,88.72,105,11948
sx7fqz,41.2179565429688,28.0755615234375,171.37,86.61,29,3256
sx7fr0,41.1795043945313,28.0865478515625,54.22,75.03,15,976
sx7fr1,41.1849975585938,28.0865478515625,50.5,77.37,15,909
sx7fr3,41.1849975585938,28.0975341796875,53.84,90.07,10,1023
sx7fr4,41.1904907226563,28.0865478515625,968.47,82.83,141,18401
